tile_id,campaign,grid_x_km,grid_y_km,col_path,cir_path,col_size_bytes,cir_size_bytes,col_sha256,cir_sha256,col_points,cir_points,point_count_match,bounds,crs,split,source_readable,source_read_error,min_distance_to_train_m,min_distance_to_val_m,min_distance_to_test_m
PNOA_2015_GAL-W_478-4756_ORT-CLA-COL,GAL-W-2015,478,4756,data/raw/pnoa_galicia/PNOA_2015_GAL-W_478-4756_ORT-CLA-COL.laz,data/raw/pnoa_galicia/PNOA_2015_GAL-W_478-4756_ORT-CLA-CIR.laz,24002814,23090844,b9584abeb66b770a6e3b8035c37301c847c166306b330ceb9affb5b62e26f346,122813578881d1c7ba12fceca9c768dc6b6a24e8c3998cefb3f95e1bb70dac13,3225314,3225314,True,"[478000.0,4754000.0,479999.99,4755999.99]",EPSG:25829,train,True,,0.009999999776482582,88822.01534109762,132000.0100000004
PNOA_2015_GAL-W_478-4758_ORT-CLA-COL,GAL-W-2015,478,4758,data/raw/pnoa_galicia/PNOA_2015_GAL-W_478-4758_ORT-CLA-COL.laz,data/raw/pnoa_galicia/PNOA_2015_GAL-W_478-4758_ORT-CLA-CIR.laz,22403681,21545834,7aacaebf4bf8969bbb1e133b39ab6c3e7fb550041e452eacb47d711c1793d4a5,a2823b8433e8ec0d6c0e8666eeccdf5f0acea1ba0590ab95c1a8d4ad99b05696,3293761,3293761,True,"[478000.0,4756000.0,479999.99,4757999.99]",EPSG:25829,train,True,,0.009999999776482582,87666.13011420322,132000.01
PNOA_2015_GAL-W_504-4672_ORT-CLA-COL,GAL-W-2015,504,4672,data/raw/pnoa_galicia/PNOA_2015_GAL-W_504-4672_ORT-CLA-COL.laz,data/raw/pnoa_galicia/PNOA_2015_GAL-W_504-4672_ORT-CLA-CIR.laz,193320,177746,8b06a17de060b42e912051091070909560609cdd01c7e12e328c172df780cc81,baaa590f7f379f9b5eb8c708bd8489c298c6d447f8f54fad864fd1f5007b4d5b,33098,33098,True,"[505194.67000003817,4671402.080012458,505999.9900000382,4671999.9900124585]",EPSG:32629,train,True,,0.009999961825087667,143571.8107711231,68618.39503439335
PNOA_2015_GAL-W_504-4674_ORT-CLA-COL,GAL-W-2015,504,4674,data/raw/pnoa_galicia/PNOA_2015_GAL-W_504-4674_ORT-CLA-COL.laz,data/raw/pnoa_galicia/PNOA_2015_GAL-W_504-4674_ORT-CLA-CIR.laz,784324,716925,654aad99e86af8b9eea7c13ebdff1caed0e2ff375f38641e5e21a48ca51acefb,a2dde869b624d161c9f94841bb2ff0526526751c95cc526bd5f0f1ca3ce91622,138120,138120,True,"[505194.7800000382,4672000.09001246,505999.99000003823,4673999.98001246]",EPSG:32629,train,True,,0.009999961766880006,141678.74748209494,68876.75399402145
PNOA_2015_GAL-W_504-4676_ORT-CLA-COL,GAL-W-2015,504,4676,data/raw/pnoa_galicia/PNOA_2015_GAL-W_504-4676_ORT-CLA-COL.laz,data/raw/pnoa_galicia/PNOA_2015_GAL-W_504-4676_ORT-CLA-CIR.laz,827132,757027,b85a94c7dc9f87d76466b9fdd22e80041c1059f8d58022fa7ea50069cf17109a,caac255799aca3865b636ab6b8eb4dbcbef216760a60e8c4fd6613c902460fad,145556,145556,True,"[505220.8200000384,4674000.000012477,505999.9900000384,4675999.990012477]",EPSG:32629,train,True,,0.009999961592257023,139788.643201393,69771.06764837375
PNOA_2015_GAL-W_504-4678_ORT-CLA-COL,GAL-W-2015,504,4678,data/raw/pnoa_galicia/PNOA_2015_GAL-W_504-4678_ORT-CLA-COL.laz,data/raw/pnoa_galicia/PNOA_2015_GAL-W_504-4678_ORT-CLA-CIR.laz,827819,770880,a7d810ae5b869dba87ac12c537144e577db78fc3216fb6a2086bb1c19e2ca0e0,5fb22822746b59cd77be23680f2367c11892f2ccd71c28e083624e0605c4dad2,144574,144574,True,"[505226.8700000385,4676000.000012492,505999.9900000385,4677999.960012492]",EPSG:32629,train,True,,0.009999961475841701,137901.67703142762,70710.69170107765
PNOA_2015_GAL-W_504-4680_ORT-CLA-COL,GAL-W-2015,504,4680,data/raw/pnoa_galicia/PNOA_2015_GAL-W_504-4680_ORT-CLA-COL.laz,data/raw/pnoa_galicia/PNOA_2015_GAL-W_504-4680_ORT-CLA-CIR.laz,765650,721102,8ad6cf1130c39e3e9e4f6a6a761be7b1a4709f2b5bd5144cd3a958b287abdfc2,1ad9bdc89c6602c70bb5500c900f01b36f92576be87610a0607f863898b24b59,136374,136374,True,"[505195.81000003824,4678000.000012504,505999.99000003823,4679999.980012504]",EPSG:32629,train,True,,0.010000005946494639,136017.89311731,71693.80699122991
PNOA_2015_GAL-W_504-4682_ORT-CLA-COL,GAL-W-2015,504,4682,data/raw/pnoa_galicia/PNOA_2015_GAL-W_504-4682_ORT-CLA-COL.laz,data/raw/pnoa_galicia/PNOA_2015_GAL-W_504-4682_ORT-CLA-CIR.laz,681491,681508,a33a262d11200b3692c3124fc6fa8151e70306ec609faed01c0b3338043cf653,baebd442d38a4687c6e06c81372e355d13353fc8b59eac68595693bd8611376f,140313,140313,True,"[505181.7200000383,4680000.0100125205,505999.9900000383,4681999.990012521]",EPSG:32629,train,True,,0.010000005946494639,134137.4841275314,72718.65483455599
PNOA_2015_GAL-W_504-4684_ORT-CLA-COL,GAL-W-2015,504,4684,data/raw/pnoa_galicia/PNOA_2015_GAL-W_504-4684_ORT-CLA-COL.laz,data/raw/pnoa_galicia/PNOA_2015_GAL-W_504-4684_ORT-CLA-CIR.laz,680422,680422,81133e052ef5ad33de0736711bc3ea8fde6c19f9c11a4c1d137c6d8d19aeb1ea,81133e052ef5ad33de0736711bc3ea8fde6c19f9c11a4c1d137c6d8d19aeb1ea,141778,141778,True,"[505191.16000003833,4682000.010012534,505999.99000003835,4683999.950012535]",EPSG:32629,train,True,,0.010000005888286978,132260.63105875076,73783.48623505454
PNOA_2015_GAL-W_504-4686_ORT-CLA-COL,GAL-W-2015,504,4686,data/raw/pnoa_galicia/PNOA_2015_GAL-W_504-4686_ORT-CLA-COL.laz,data/raw/pnoa_galicia/PNOA_2015_GAL-W_504-4686_ORT-CLA-CIR.laz,648169,648173,608a78814bd31f475e7b9495452d22176e06c3e9ef655b5272314cd775ab6af5,60ae8a21ea8cbb1a8e22d92fb1dccff08ea59d012c29ea71aeea156b3f41a44e,140849,140849,True,"[505196.4600000384,4684000.0000125505,505999.9900000384,4685999.990012551]",EPSG:32629,train,True,,0.010000005946494639,130387.363529021,74886.59480207163
PNOA_2015_GAL-W_506-4668_ORT-CLA-COL,GAL-W-2015,506,4668,data/raw/pnoa_galicia/PNOA_2015_GAL-W_506-4668_ORT-CLA-COL.laz,data/raw/pnoa_galicia/PNOA_2015_GAL-W_506-4668_ORT-CLA-CIR.laz,1197539,1197537,a033a93a90dba39987822438bd7f664bffbb4ad49c681c89ce3e918a008bf632,b3f0921aca53e9588886b694bf1358a76d3d2dd9c9bcda29f23ce451370aab2f,312005,312005,True,"[506854.2400000503,4666000.010012418,507999.9900000503,4667999.9900124185]",EPSG:32629,train,True,,0.00998758152127266,146754.30981104344,64621.99440276137
PNOA_2015_GAL-W_506-4670_ORT-CLA-COL,GAL-W-2015,506,4670,data/raw/pnoa_galicia/PNOA_2015_GAL-W_506-4670_ORT-CLA-COL.laz,data/raw/pnoa_galicia/PNOA_2015_GAL-W_506-4670_ORT-CLA-CIR.laz,1801086,1808255,8defff527f203e874af9cd2f190f92494e7854aa31e205399f94824603dae08e,76f52ee28b922fb8f75f08eef281ec1b6d6fbd4b82546bd41003a55abae6261a,379037,379037,True,"[506880.98000000004,4668000.0,507999.99000000005,4669999.98]",EPSG:25829,train,True,,0.00998758152127266,144847.61016856204,65391.144048717964
PNOA_2015_GAL-W_506-4672_ORT-CLA-COL,GAL-W-2015,506,4672,data/raw/pnoa_galicia/PNOA_2015_GAL-W_506-4672_ORT-CLA-COL.laz,data/raw/pnoa_galicia/PNOA_2015_GAL-W_506-4672_ORT-CLA-CIR.laz,3492333,3056996,e6c99240dda5cf73687c300e6fa26679fe47dba58115f209eb3fb433d92229af,b2a22568fa2b0f75a3ed262e1edac7c4c2a146989108a6393b2dc064cb6f8b91,549891,549891,True,"[506000.0,4670000.0,507999.99,4671999.99]",EPSG:25829,train,True,,0.009999961825087667,142943.4411628939,66211.79471967353
